,Rank,Title,Lifetime Gross,Year,inflation_adjusted_gross
0,1,Avatar,2923706026,2009,3128902526.5266314
1,2,Avengers: Endgame,2799439100,2019,2799439100.0
2,3,Avatar: The Way of Water,2318325624,2022,2318325624.0
3,4,Titanic,2264162353,1997,3238866612.3033147
4,5,Star Wars: Episode VII - The Force Awakens,2071310218,2015,2071310218.0
5,6,Avengers: Infinity War,2052415039,2018,2052415039.0
6,7,Spider-Man: No Way Home,1921847111,2021,1921847111.0
7,8,Jurassic World,1671537444,2015,1671537444.0
8,9,The Lion King,1663075401,2019,1663075401.0
9,10,The Avengers,1520538536,2012,1520538536.0
10,11,Furious 7,1515341399,2015,1515341399.0
11,12,Top Gun: Maverick,1493491858,2022,1493491858.0
12,13,Frozen II,1453683476,2019,1453683476.0
13,14,Avengers: Age of Ultron,1405018048,2015,1405018048.0
14,15,Black Panther,1349926083,2018,1349926083.0
15,16,Harry Potter and the Deathly Hallows: Part 2,1342359942,2011,1370139409.0111008
16,17,Star Wars: Episode VIII - The Last Jedi,1334407706,2017,1334407706.0
17,18,Jurassic World: Fallen Kingdom,1310466296,2018,1310466296.0
18,19,Frozen,1284540518,2013,1284540518.0
19,20,Beauty and the Beast,1266115964,2017,1266115964.0
20,21,Incredibles 2,1243225667,2018,1243225667.0
21,22,The Fate of the Furious,1236005118,2017,1236005118.0
22,23,Iron Man 3,1215577205,2013,1215577205.0
23,24,Minions,1159444662,2015,1159444662.0
24,25,Captain America: Civil War,1155046416,2016,1155046416.0
25,26,Aquaman,1148528393,2018,1148528393.0
26,27,The Lord of the Rings: The Return of the King,1147633833,2003,1432010012.248924
27,28,Skyfall,1142471295,2012,1142471295.0
28,29,Spider-Man: Far from Home,1131927996,2019,1131927996.0
29,30,Captain Marvel,1131416446,2019,1131416446.0
30,31,Transformers: Dark of the Moon,1123794079,2011,1147050434.8909082
31,32,Jurassic Park,1109802321,1993,1763349163.236498
32,33,Transformers: Age of Extinction,1104054072,2014,1104054072.0
33,34,The Dark Knight Rises,1081169825,2012,1081169825.0
34,35,Star Wars: Episode IX - The Rise of Skywalker,1077022372,2019,1077022372.0
35,36,Joker,1074458282,2019,1074458282.0
36,37,Toy Story 4,1073841394,2019,1073841394.0
37,38,Toy Story 3,1067316101,2010,1123791011.909757
38,39,Pirates of the Caribbean: Dead Man's Chest,1066179747,2006,1214228535.8765774
39,40,Rogue One: A Star Wars Story,1058682142,2016,1058682142.0
40,41,Aladdin,1054304000,2019,1054304000.0
41,42,Pirates of the Caribbean: On Stranger Tides,1046721266,2011,1068382638.6087073
42,43,Despicable Me 3,1034800131,2017,1034800131.0
43,44,Finding Dory,1029266989,2016,1029266989.0
44,45,Star Wars: Episode I - The Phantom Menace,1027082707,1999,1415438337.5207565
45,46,Zootopia,1025521689,2016,1025521689.0
46,47,Alice in Wonderland,1025468216,2010,1079728829.2195766
47,48,Harry Potter and the Sorcerer's Stone,1023842938,2001,1327319003.4284134
48,49,The Hobbit: An Unexpected Journey,1017030651,2012,1017030651.0
49,50,The Dark Knight,1006234167,2008,1073024190.7367663
50,51,Jurassic World: Dominion,1001978080,2022,1001978080.0
51,52,Jumanji: Welcome to the Jungle,995339117,2017,995339117.0
52,53,Harry Potter and the Deathly Hallows: Part 1,977070383,2010,1028770121.0446031
53,54,Despicable Me 2,970766005,2013,970766005.0
54,55,The Lion King,968511805,1994,1500435218.3344805
55,56,The Jungle Book,967724775,2016,967724775.0
56,57,The Hobbit: The Battle of the Five Armies,962201338,2014,962201338.0
57,58,Pirates of the Caribbean: At World's End,961691209,2007,1064900171.8858021
58,59,The Hobbit: The Desolation of Smaug,959027992,2013,959027992.0
59,60,Doctor Strange in the Multiverse of Madness,955775804,2022,955775804.0
60,61,The Lord of the Rings: The Two Towers,947944270,2002,1209796090.7525291
61,62,Harry Potter and the Order of the Phoenix,942278045,2007,1043403581.8296822
62,63,Finding Nemo,941637960,2003,1174969705.3708694
63,64,Minions: The Rise of Gru,939628210,2022,939628210.0
64,65,Harry Potter and the Half-Blood Prince,934519387,2009,1000107413.3547033
65,66,Shrek 2,928760770,2004,1128840128.2550557
66,67,Harry Potter and the Chamber of Secrets,925668380,2002,1181366904.0451362
67,68,Bohemian Rhapsody,910809311,2018,910809311.0
68,69,The Battle at Lake Changjin,902548476,2021,902548476.0
69,70,The Lord of the Rings: The Fellowship of the Ring,898204420,2001,1164440121.9959345
70,71,Harry Potter and the Goblet of Fire,896815106,2005,1054292716.0622835
71,72,Spider-Man 3,894983373,2007,991033232.7293166
72,73,The Secret Life of Pets,894328469,2016,894328469.0
73,74,Ice Age: Dawn of the Dinosaurs,886686817,2009,948917776.711234
74,75,Spectre,880705312,2015,880705312.0
75,76,Spider-Man: Homecoming,880166924,2017,880166924.0
76,77,Ice Age: Continental Drift,877244782,2012,877244782.0
77,78,The Super Mario Bros. Movie,875031550,2023,875031550.0
78,79,Batman v Superman: Dawn of Justice,873637528,2016,873637528.0
79,80,Wolf Warrior 2,870325439,2017,870325439.0
80,81,Star Wars: Episode III - Revenge of the Sith,868390560,2005,1020876918.7539169
81,82,The Hunger Games: Catching Fire,865011746,2013,865011746.0
82,83,Guardians of the Galaxy Vol. 2,863756051,2017,863756051.0
83,84,Black Panther: Wakanda Forever,859207913,2022,859207913.0
84,85,Inside Out,858848019,2015,858848019.0
85,86,Venom,856085151,2018,856085151.0
86,87,Thor: Ragnarok,855301806,2017,855301806.0
87,88,The Twilight Saga: Breaking Dawn - Part 2,848593948,2012,848593948.0
88,89,Inception,836504484,2010,880766456.7794328
89,90,Transformers: Revenge of the Fallen,836303693,2009,894998578.7563077
90,91,Spider-Man,825025036,2002,1052922724.3767871
91,92,Wonder Woman,822854286,2017,822854286.0
92,93,"Hi, Mom",822009764,2021,822009764.0
93,94,Independence Day,817400891,1996,1196114341.4165328
94,95,Coco,814337054,2017,814337054.0
95,96,Fantastic Beasts and Where to Find Them,814044001,2016,814044001.0
96,97,Shrek the Third,813367380,2007,900658189.0968544
97,98,Jumanji: The Next Level,801693929,2019,801693929.0
98,99,Harry Potter and the Prisoner of Azkaban,797660766,2004,969497754.9444362
99,100,Pirates of the Caribbean: Dead Men Tell No Tales,795922298,2017,795922298.0
100,101,E.T. the Extra-Terrestrial,792910554,1982,1886502650.1044145
101,102,Mission: Impossible - Fallout,791657398,2018,791657398.0
102,103,2012,791217826,2009,846748418.8864577
103,104,Indiana Jones and the Kingdom of the Crystal Skull,790653942,2008,843134564.5882686
104,105,Spider-Man 2,788976453,2004,958942613.8172684
105,106,Fast & Furious 6,788680968,2013,788680968.0
106,107,Deadpool 2,785896609,2018,785896609.0
107,108,Deadpool,782836791,2016,782836791.0
108,109,Star Wars: Episode IV - A New Hope,775398007,1977,2937734818.7979865
109,110,No Time to Die,774153007,2021,774153007.0
110,111,Interstellar,773430538,2014,773430538.0
111,112,Guardians of the Galaxy,773350147,2014,773350147.0
112,113,The Batman,770945583,2022,770945583.0
113,114,Thor: Love and Thunder,760928081,2022,760928081.0
114,115,Fast & Furious Presents: Hobbs & Shaw,760732926,2019,760732926.0
115,116,The Da Vinci Code,760006945,2006,865540845.8845733
116,117,Maleficent,759853685,2014,759853685.0
117,118,The Amazing Spider-Man,757930663,2012,757930663.0
118,119,The Hunger Games: Mockingjay - Part 1,755356711,2014,755356711.0
119,120,Shrek Forever After,752600867,2010,792423246.5880232
120,121,Gravity,748049949,2013,748049949.0
121,122,Madagascar 3: Europe's Most Wanted,746921274,2012,746921274.0
122,123,Suicide Squad,746846894,2016,746846894.0
123,124,X-Men: Days of Future Past,746045700,2014,746045700.0
124,125,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",745013115,2005,875834823.9903225
125,126,Monsters University,743559645,2013,743559645.0
126,127,The Matrix Reloaded,741847937,2003,925673017.6498804
127,128,Up,735099102,2009,786691075.3137593
128,129,Ne Zha,726264074,2019,726264074.0
129,130,F9: The Fast Saga,726229501,2021,726229501.0
130,131,Captain America: The Winter Soldier,714421503,2014,714421503.0
131,132,The Twilight Saga: Breaking Dawn - Part 1,712205856,2011,726944599.6579695
132,133,The Twilight Saga: New Moon,711025481,2009,760927878.5697292
133,134,Dawn of the Planet of the Apes,710644566,2014,710644566.0
134,135,Transformers,709709780,2007,785876027.1885098
135,136,The Amazing Spider-Man 2,708982323,2014,708982323.0
136,137,It,701842551,2017,701842551.0
137,138,The Wandering Earth,699992512,2019,699992512.0
138,139,The Twilight Saga: Eclipse,698509825,2010,735470084.5702479
139,140,Mission: Impossible - Ghost Protocol,694713380,2011,709090125.6239247
140,141,Mamma Mia!,694476782,2008,740573527.9420538
141,142,The Hunger Games,694394724,2012,694394724.0
142,143,Detective Chinatown 3,686257563,2021,686257563.0
143,144,Mission: Impossible - Rogue Nation,682716636,2015,682716636.0
144,145,Moana,682685656,2016,682685656.0
145,146,Forrest Gump,678226465,1994,1050720155.2308367
146,147,Doctor Strange,677796076,2016,677796076.0
147,148,The Sixth Sense,672806432,1999,927204801.612293
148,149,Man of Steel,668045518,2013,668045518.0
149,150,Ice Age: The Meltdown,667094506,2006,759726666.7190675
150,151,Kung Fu Panda 2,665692281,2011,679468449.5081512
151,152,Justice League,657926987,2017,657926987.0
152,153,Big Hero 6,657869686,2014,657869686.0
153,154,Fantastic Beasts: The Crimes of Grindelwald,654855901,2018,654855901.0
154,155,Pirates of the Caribbean: The Curse of the Black Pearl,654264015,2003,816386370.9777718
155,156,Men in Black 3,654213485,2012,654213485.0
156,157,Star Wars: Episode II - Attack of the Clones,653779970,2002,834374421.5240688
157,158,The Hunger Games: Mockingjay - Part 2,653428261,2015,653428261.0
158,159,Thor: The Dark World,644783140,2013,644783140.0
159,160,Sing,634338384,2016,634338384.0
160,161,Kung Fu Panda,632083197,2008,674038492.4131016
161,162,The Incredibles,631607053,2004,767671729.6266913
